Feature,Mean_SHAP
DestinationPort,0.044761368412227276
Init_Win_bytes_backward,0.03762254871501506
BwdPacketLengthStd,0.03366139313120314
PacketLengthVariance,0.02742052399939056
TotalLengthofBwdPackets,0.0260547326950595
AveragePacketSize,0.02599260556042307
PacketLengthStd,0.023965182850386187
AvgBwdSegmentSize,0.023114415247528608
BwdPacketLengthMean,0.022057873178136008
SubflowBwdBytes,0.021564379937246296
MaxPacketLength,0.0206541018822095
PacketLengthMean,0.01848273226292121
Init_Win_bytes_forward,0.014202428673378677
FwdPacketLengthMax,0.01392649155846643
AvgFwdSegmentSize,0.012786009807949687
MinPacketLength,0.011490736077954576
FwdPacketLengthMean,0.01012084064383921
BwdPacketLengthMin,0.010101819108442937
BwdHeaderLength,0.009923072577739406
BwdPacketLengthMax,0.009664457603217833
TotalLengthofFwdPackets,0.009495198996042923
SubflowFwdBytes,0.00895359309455735
TotalBackwardPackets,0.008587874977127808
SubflowBwdPackets,0.00852808118577826
FwdHeaderLength.1,0.0066857435623952485
FwdHeaderLength,0.006601056584948843
min_seg_size_forward,0.005747540561560638
TotalFwdPackets,0.005012796884704525
SubflowFwdPackets,0.005011229201531695
FwdPacketLengthMin,0.004841652247152604
FwdIATMax,0.00477728544561144
FwdIATMean,0.004571656138820601
FlowIATMean,0.004565178056061058
FlowDuration,0.004462997169315409
FlowIATMax,0.004370976467280966
BwdPackets/s,0.004306691889039154
FlowIATStd,0.004240086960330733
FlowPackets/s,0.0040694539421343755
FwdIATStd,0.004049228307765399
FlowBytes/s,0.003982619789485789
BwdIATStd,0.0035112178766339383
FwdIATTotal,0.0034186936025548454
BwdIATMax,0.0029462033480254822
FlowIATMin,0.0029423914159787943
FwdIATMin,0.0028760664732051895
FwdPackets/s,0.002852849101245124
act_data_pkt_fwd,0.0023920141104705776
FwdPacketLengthStd,0.0023176113438659034
IdleMax,0.002215518386276251
BwdIATMin,0.0021989171919332435
BwdIATTotal,0.0021564896737756704
BwdIATMean,0.0019887634779241054
IdleMean,0.0018416862311084732
IdleMin,0.0011295171768508545
Down/UpRatio,0.0010530473062617266
ActiveMax,0.0007818652405110179
ActiveMean,0.0006226258503070731
ActiveMin,0.0006061455891584246
ActiveStd,0.0003274811912596328
IdleStd,0.00019599493632054668
